rank,barcode,name,brand,category,subcategory,score,priority,reasons,offer_count,retailers,source,source_retailer
1,5060107332614,Ella's Kitchen Apples First Tastes 70G,Ella's Kitchen,Baby & Toddler,Fruit Puree,8,low priority,thin ingredient list,1,Sainsbury's,manual_real_batch_fruit_puree_002,Sainsbury's
2,5060107332621,Ella's Kitchen Pears First Tastes 70G,Ella's Kitchen,Baby & Toddler,Fruit Puree,8,low priority,thin ingredient list,1,Sainsbury's,manual_real_batch_fruit_puree_002,Sainsbury's
3,5056000503369,Kendamil Comfort Milk,Kendamil,Baby & Toddler,Formula Milk,6,low priority,missing visible weight/pack size in name,2,"Asda, Tesco",manual_real_batch,Asda
4,5056000500825,Kendamil Goat First Infant Milk Stage 1,Kendamil,Baby & Toddler,Formula Milk,6,low priority,missing visible weight/pack size in name,2,"Asda, Tesco",manual_real_batch,Tesco
5,5060107332249,Ella's Chicken Casserole With Rice 190G,Ella's Kitchen,Baby & Toddler,Baby Meals,0,clean,,2,"Sainsbury's, Tesco",manual_real_batch_baby_meals_003,Tesco
6,5060503502673,Ella's Kitchen 7 Month Plus Veggie Biryani 130G,Ella's Kitchen,Baby & Toddler,Baby Meals,0,clean,,2,"Asda, Tesco",manual_real_batch_baby_meals_001,Tesco
7,5060107332119,Ella's Kitchen Chicken Casserole With Rice 130G,Ella's Kitchen,Baby & Toddler,Baby Meals,0,clean,,1,Tesco,manual_real_batch_baby_meals_001,Tesco
8,5060107338920,Ella's Kitchen Chicken Curry With Veggie Rice 190G,Ella's Kitchen,Baby & Toddler,Baby Meals,0,clean,,2,"Sainsbury's, Tesco",manual_real_batch_baby_meals_003,Tesco
9,5060107337879,Ella's Kitchen Cottage Pie 130G,Ella's Kitchen,Baby & Toddler,Baby Meals,0,clean,,2,"Asda, Tesco",manual_real_batch_baby_meals_001,Tesco
10,5060107333956,Ella's Kitchen Lovely Lamb Roast Dinner 190G,Ella's Kitchen,Baby & Toddler,Baby Meals,0,clean,,2,"Sainsbury's, Tesco",manual_real_batch_baby_meals_003,Tesco
11,5060107331365,Ella's Kitchen Organic Cottage Pie With Cinnamon 190G,Ella's Kitchen,Baby & Toddler,Baby Meals,0,clean,,2,"Sainsbury's, Tesco",manual_real_batch_baby_meals_003,Tesco
12,5060107331327,Ella's Kitchen Organic Tomato Pasta With Vegetables 190G,Ella's Kitchen,Baby & Toddler,Baby Meals,0,clean,,2,"Sainsbury's, Tesco",manual_real_batch_baby_meals_003,Tesco
13,5060107332157,Ella's Kitchen Vegetable Bake With Lentils 130G,Ella's Kitchen,Baby & Toddler,Baby Meals,0,clean,,1,Tesco,manual_real_replacement,Tesco
14,5060107333970,Ella's Kitchen Wonderfully Warming Beef Stew 190G,Ella's Kitchen,Baby & Toddler,Baby Meals,0,clean,,2,"Sainsbury's, Tesco",manual_real_batch_baby_meals_003,Tesco
15,5060107335127,Ella's Vegetable Lasagne Stage 2 130G,Ella's Kitchen,Baby & Toddler,Baby Meals,0,clean,,1,Tesco,manual_real_replacement,Tesco
16,5000157079855,Heinz Lamb Hot Pot Baby Food Pouch 130g,Heinz,Baby & Toddler,Baby Meals,0,clean,,1,Tesco,manual_real_batch_baby_meals_001,Tesco
17,5000157079800,Heinz Spaghetti Bolognese Baby Food Pouch 180g,Heinz,Baby & Toddler,Baby Meals,0,clean,,3,"Asda, Sainsbury's, Tesco",manual_real_batch_baby_meals_002,Tesco
