barcode,name,brand,category,subcategory,ingredients,allergens,retailer,price,promo_price,original_price,promo_text,stock_status,product_url,image_url,source_type,source_url
5051594006812,Aptamil 1 First Baby Milk Formula Powder from Birth 800g,Aptamil,Baby & Toddler,Formula Milk,Dairy-based blend; Lactose from milk; Vegetable oils; Skimmed milk; Demineralised whey from milk; Fish oil; Galacto-oligosaccharides; Fructo-oligosaccharides; Soy lecithin; Vitamins; Minerals,Milk; Fish; Soy,Tesco,13.5,,,,in_stock,https://www.tesco.com/groceries/en-GB/products/301359904,,manual_csv,https://www.tesco.com/groceries/en-GB/products/301359904
5051594006829,Aptamil 2 Follow On Baby Milk Formula Powder 6-12 Months 800g,Aptamil,Baby & Toddler,Formula Milk,Dairy-based blend; Lactose from milk; Vegetable oils; Skimmed milk; Demineralised whey from milk; Fish oil; Galacto-oligosaccharides; Fructo-oligosaccharides; Soy lecithin; Vitamins; Minerals,Milk; Fish; Soy,Tesco,13.5,,,,in_stock,https://www.tesco.com/groceries/en-GB/products/301359927,,manual_csv,https://www.tesco.com/groceries/en-GB/products/301359927
5051594006874,Cow & Gate 1 First Infant Baby Milk Formula Powder from Birth 800g,Cow & Gate,Baby & Toddler,Formula Milk,Lactose from milk; Vegetable oils; Skimmed milk; Demineralised whey from milk; Whey concentrate from milk; Galacto-oligosaccharides; Fructo-oligosaccharides; Fish oil; Soy lecithin; Vitamins; Minerals,Milk; Fish; Soy,Tesco,11.0,,,,in_stock,https://www.tesco.com/groceries/en-GB/products/301359789,,manual_csv,https://www.tesco.com/groceries/en-GB/products/301359789
5051594006881,Cow & Gate 2 Follow On Baby Milk Formula Powder 6-12 Months 800g,Cow & Gate,Baby & Toddler,Formula Milk,Lactose from milk; Vegetable oils; Skimmed milk; Demineralised whey from milk; Galacto-oligosaccharides; Whey concentrate from milk; Cow's milk protein; Fish oil; Fructo-oligosaccharides; Soy lecithin; Vitamins; Minerals,Milk; Fish; Soy,Tesco,11.0,,,,in_stock,https://www.tesco.com/groceries/en-GB/products/301359806,,manual_csv,https://www.tesco.com/groceries/en-GB/products/301359806
4062300139008,"HiPP Organic 1 First Infant Baby Milk Powder Formula, From Birth, 800g",HiPP Organic,Baby & Toddler,Formula Milk,Organic skimmed milk; Organic whey product; Organic vegetable oils; Organic lactose; Organic galacto-oligosaccharides; Fish oil; Mortierella alpina oil; Vitamins; Minerals,Milk; Fish,Tesco,13.65,,,,in_stock,https://www.tesco.com/groceries/en-GB/products/318252791,,manual_csv,https://www.tesco.com/groceries/en-GB/products/318252791
4062300460492,"HiPP Organic 2 Follow on Baby Milk Powder Formula, From 6 Months, 800g",HiPP Organic,Baby & Toddler,Formula Milk,Organic skimmed milk; Organic lactose; Organic vegetable oils; Organic whey product; Organic galacto-oligosaccharides; Fish oil; Vitamins; Minerals,Milk; Fish,Tesco,13.5,,,,in_stock,https://www.tesco.com/groceries/en-GB/products/320387162,,manual_csv,https://www.tesco.com/groceries/en-GB/products/320387162
5056000505910,Kendamil Classic First Infant Milk Stage 1 800g,Kendamil,Baby & Toddler,Formula Milk,"Whole milk; Skimmed milk; Lactose (milk); Vegetable oils (sunflower, coconut, rapeseed); Demineralised whey powder (milk); Galacto-oligosaccharides (milk); Whey protein concentrate alpha-lactalbumin (milk); Fructo-oligosaccharides; DHA from microalgae oil; ARA from Mortierella alpina oil; Vitamins; Minerals",Milk,Tesco,12.15,,,,in_stock,https://www.tesco.com/groceries/en-GB/products/313737289,,manual_csv,https://www.tesco.com/groceries/en-GB/products/313737289
5056000505422,Kendamil Comfort Milk 0-12 Months 800g,Kendamil,Baby & Toddler,Formula Milk,"Soluble Dextrin; Cream (Milk); Vegetable Oils (High Oleic Sunflower Oil, Sunflower Oil, Rapeseed Oil, Coconut Oil); Lactose (Milk); Partially Hydrolysed Whey Protein (Milk); Galacto-Oligosaccharides (Milk); Whey Protein Concentrate Alpha-Lactalbumin (Milk); Whole Milk Powder; Fructo-Oligosaccharides; Oil from the Microalgae Schizochytrium sp.; Oil from Mortierella Alpina; Vitamins; Minerals",Milk,Tesco,15.5,,,,in_stock,https://www.tesco.com/groceries/en-GB/products/316064112,,manual_csv,https://www.tesco.com/groceries/en-GB/products/316064112
5056000503855,Kendamil Goat First Infant Milk Stage 1 From Birth 800g,Kendamil,Baby & Toddler,Formula Milk,"Whole Goat Milk; Demineralised Goat Whey Powder (from Milk); Vegetable Oils (Sunflower, Coconut, Rapeseed); Lactose (from Milk); Galacto-Oligosaccharides (from Milk); Oil from the Microalgae Schizochytrium sp. (Milk); Oil from Mortierella Alpina (Milk); Vitamins; Minerals",Milk,Tesco,20.75,,,,in_stock,https://www.tesco.com/groceries/en-GB/products/314701762,,manual_csv,https://www.tesco.com/groceries/en-GB/products/314701762
5056000502926,Kendamil Organic First Infant Milk Stage 1 800g,Kendamil,Baby & Toddler,Formula Milk,"Organic whole milk; Organic demineralised milk whey protein powder; Organic skimmed milk; Organic vegetable oils (sunflower, coconut, rapeseed); Organic galacto-oligosaccharides (from milk); DHA from microalgae oil; ARA from Mortierella alpina oil; Vitamins; Minerals",Milk,Tesco,15.15,,,,in_stock,https://www.tesco.com/groceries/en-GB/products/310689281,,manual_csv,https://www.tesco.com/groceries/en-GB/products/310689281
7613036926744,Little Steps First Infant Baby Milk Formula Powder from Birth 800g,Little Steps,Baby & Toddler,Formula Milk,Demineralised sweet whey from milk; Skimmed milk; Lactose from milk; Vegetable oils; Oil from Mortierella alpina; Microalgae oil; Soy lecithin; Vitamins; Minerals,Milk; Soy,Tesco,8.45,,,,in_stock,https://www.tesco.com/groceries/en-GB/products/303215156,,manual_csv,https://www.tesco.com/groceries/en-GB/products/303215156
